tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2024-10-02,DKI5 (Kebon Jeruk),90.0,25.0,37.0,20.0,54.0,16.0,90.0,PM25,SEDANG
2024-10-03,DKI2 (Kelapa Gading),96.0,69.0,59.0,12.0,25.0,26.0,96.0,PM25,SEDANG
2024-10-04,DKI5 (Kebon Jeruk),94.0,30.0,38.0,22.0,46.0,16.0,94.0,PM25,SEDANG
2024-10-05,DKI2 (Kelapa Gading),82.0,62.0,59.0,15.0,23.0,38.0,82.0,PM25,SEDANG
2024-10-06,DKI5 (Kebon Jeruk),76.0,19.0,36.0,21.0,49.0,15.0,76.0,PM25,SEDANG
2024-10-07,DKI5 (Kebon Jeruk),121.0,35.0,38.0,27.0,46.0,19.0,121.0,PM25,TIDAK SEHAT
2024-10-08,DKI2 (Kelapa Gading),84.0,63.0,60.0,12.0,25.0,23.0,84.0,PM25,SEDANG
2024-10-09,DKI5 (Kebon Jeruk),82.0,24.0,37.0,20.0,52.0,13.0,82.0,PM25,SEDANG
2024-10-10,DKI5 (Kebon Jeruk),92.0,32.0,38.0,20.0,52.0,14.0,92.0,PM25,SEDANG
2024-10-11,DKI5 (Kebon Jeruk),102.0,20.0,39.0,23.0,44.0,20.0,102.0,PM25,TIDAK SEHAT
2024-10-12,DKI5 (Kebon Jeruk),92.0,21.0,39.0,20.0,48.0,16.0,92.0,PM25,SEDANG
2024-10-13,DKI5 (Kebon Jeruk),111.0,,41.0,21.0,51.0,14.0,111.0,PM25,TIDAK SEHAT
2024-10-14,DKI5 (Kebon Jeruk),113.0,68.0,38.0,22.0,48.0,17.0,113.0,PM25,TIDAK SEHAT
2024-10-15,DKI5 (Kebon Jeruk),84.0,34.0,39.0,19.0,61.0,12.0,84.0,PM25,SEDANG
2024-10-16,DKI5 (Kebon Jeruk),111.0,32.0,40.0,22.0,59.0,18.0,111.0,PM25,TIDAK SEHAT
2024-10-17,DKI2 (Kelapa Gading),77.0,60.0,59.0,14.0,32.0,33.0,77.0,PM25,SEDANG
2024-10-18,DKI2 (Kelapa Gading),80.0,61.0,59.0,12.0,40.0,23.0,80.0,PM25,SEDANG
2024-10-19,DKI2 (Kelapa Gading),102.0,78.0,59.0,13.0,34.0,26.0,102.0,PM25,TIDAK SEHAT
2024-10-20,DKI5 (Kebon Jeruk),84.0,55.0,40.0,18.0,33.0,11.0,84.0,PM25,SEDANG
2024-10-21,DKI1 (Bunderan HI),82.0,51.0,12.0,23.0,28.0,32.0,82.0,PM25,SEDANG
2024-10-22,DKI2 (Kelapa Gading),106.0,85.0,60.0,14.0,34.0,32.0,106.0,PM25,TIDAK SEHAT
2024-10-23,DKI2 (Kelapa Gading),90.0,68.0,59.0,11.0,38.0,17.0,90.0,PM25,SEDANG
2024-10-24,DKI5 (Kebon Jeruk),79.0,43.0,40.0,17.0,55.0,11.0,79.0,PM25,SEDANG
2024-10-25,DKI5 (Kebon Jeruk),82.0,50.0,39.0,20.0,59.0,17.0,82.0,PM25,SEDANG
2024-10-26,DKI5 (Kebon Jeruk),78.0,50.0,39.0,21.0,44.0,16.0,78.0,PM25,SEDANG
2024-10-27,DKI1 (Bunderan HI),78.0,54.0,19.0,23.0,34.0,31.0,78.0,PM25,SEDANG
2024-10-28,DKI2 (Kelapa Gading),90.0,64.0,60.0,13.0,30.0,22.0,90.0,PM25,SEDANG
2024-10-29,DKI2 (Kelapa Gading),86.0,65.0,60.0,14.0,31.0,29.0,86.0,PM25,SEDANG
2024-10-30,DKI5 (Kebon Jeruk),99.0,56.0,40.0,20.0,58.0,14.0,99.0,PM25,SEDANG
2024-10-31,DKI5 (Kebon Jeruk),89.0,55.0,41.0,20.0,52.0,15.0,89.0,PM25,SEDANG
2024-11-01,DKI5 (Kebon Jeruk),105.0,66.0,40.0,22.0,49.0,19.0,105.0,PM25,TIDAK SEHAT
2024-11-02,DKI5 (Kebon Jeruk),97.0,60.0,41.0,22.0,44.0,18.0,97.0,PM25,SEDANG
2024-11-03,DKI3 (Jagakarsa),65.0,46.0,63.0,16.0,18.0,81.0,81.0,NO2,SEDANG
2024-11-04,DKI3 (Jagakarsa),60.0,40.0,63.0,15.0,26.0,77.0,77.0,NO2,SEDANG
2024-11-05,DKI5 (Kebon Jeruk),85.0,,39.0,21.0,51.0,19.0,85.0,PM25,SEDANG
2024-11-06,DKI5 (Kebon Jeruk),78.0,,38.0,22.0,44.0,19.0,78.0,PM25,SEDANG
2024-11-07,DKI5 (Kebon Jeruk),108.0,,41.0,23.0,58.0,15.0,108.0,PM25,TIDAK SEHAT
2024-11-08,DKI5 (Kebon Jeruk),109.0,,39.0,22.0,53.0,16.0,109.0,PM25,TIDAK SEHAT
2024-11-09,DKI2 (Kelapa Gading),100.0,71.0,60.0,11.0,31.0,25.0,100.0,PM25,SEDANG
2024-11-10,DKI2 (Kelapa Gading),77.0,60.0,60.0,20.0,21.0,49.0,77.0,PM25,SEDANG
2024-11-11,DKI1 (Bunderan HI),71.0,51.0,10.0,30.0,18.0,42.0,71.0,PM25,SEDANG
2024-11-12,DKI3 (Jagakarsa),51.0,30.0,63.0,13.0,19.0,82.0,82.0,NO2,SEDANG
2024-11-13,DKI5 (Kebon Jeruk),113.0,,41.0,32.0,39.0,14.0,113.0,PM25,TIDAK SEHAT
2024-11-14,DKI5 (Kebon Jeruk),124.0,,45.0,24.0,57.0,13.0,124.0,PM25,TIDAK SEHAT
2024-11-15,DKI5 (Kebon Jeruk),133.0,,50.0,21.0,44.0,17.0,133.0,PM25,TIDAK SEHAT
2024-11-16,DKI5 (Kebon Jeruk),141.0,,45.0,19.0,61.0,14.0,141.0,PM25,TIDAK SEHAT
2024-11-17,DKI5 (Kebon Jeruk),157.0,,41.0,33.0,55.0,19.0,157.0,PM25,TIDAK SEHAT
2024-11-18,DKI5 (Kebon Jeruk),87.0,,40.0,17.0,51.0,13.0,87.0,PM25,SEDANG
2024-11-19,DKI5 (Kebon Jeruk),86.0,,41.0,21.0,38.0,13.0,86.0,PM25,SEDANG
2024-11-20,DKI5 (Kebon Jeruk),73.0,,41.0,22.0,49.0,17.0,73.0,PM25,SEDANG
2024-11-21,DKI2 (Kelapa Gading),70.0,57.0,,12.0,19.0,29.0,70.0,PM25,SEDANG
2024-11-22,DKI5 (Kebon Jeruk),71.0,,44.0,17.0,33.0,10.0,71.0,PM25,SEDANG
2024-11-23,DKI3 (Jagakarsa),64.0,48.0,65.0,14.0,16.0,78.0,78.0,NO2,SEDANG
2024-11-24,DKI3 (Jagakarsa),55.0,48.0,65.0,11.0,13.0,68.0,68.0,NO2,SEDANG
2024-11-25,DKI3 (Jagakarsa),50.0,30.0,65.0,11.0,14.0,73.0,73.0,NO2,SEDANG
2024-11-26,DKI3 (Jagakarsa),60.0,40.0,65.0,10.0,17.0,71.0,71.0,NO2,SEDANG
2024-11-27,DKI3 (Jagakarsa),63.0,50.0,65.0,13.0,13.0,77.0,77.0,NO2,SEDANG
2024-11-28,DKI2 (Kelapa Gading),44.0,30.0,59.0,13.0,11.0,25.0,59.0,SO2,SEDANG
2024-11-29,DKI3 (Jagakarsa),10.0,21.0,67.0,6.0,13.0,26.0,67.0,SO2,SEDANG
2024-11-30,DKI3 (Jagakarsa),10.0,35.0,67.0,7.0,10.0,34.0,67.0,SO2,SEDANG
2024-12-01,DKI1 (Bunderan HI),65.0,32.0,67.0,7.0,9.0,40.0,67.0,SO2,BAIK
2024-12-02,DKI1 (Bunderan HI),52.0,19.0,67.0,6.0,9.0,33.0,67.0,SO2,BAIK
2024-12-03,DKI1 (Bunderan HI),31.0,19.0,67.0,4.0,12.0,15.0,67.0,SO2,BAIK
2024-12-04,DKI1 (Bunderan HI),45.0,30.0,67.0,7.0,10.0,22.0,67.0,SO2,BAIK
2024-12-05,DKI1 (Bunderan HI),26.0,17.0,67.0,3.0,12.0,13.0,67.0,SO2,BAIK
